fibre_type,quantity_of_fibre,application,color_of_fibre,pan_powder,dmf_solvent,additives,heating_time,energy_use,argon_gas,oxidation,sizing,water,drying,strength,flexibility,diameter_accuracy
PAN-based Carbon Fiber,112.74,Automotive,Gray,3.99,9.9,None,92.37,62.23,1.51,2.18,0.25,27.72,0.78,98.56,95.73,90.33
PAN-based Carbon Fiber,67.32,Automotive,Silver,1.0,9.3,None,92.2,343.51,4.23,2.13,2.23,164.86,5.59,92.44,93.48,98.16
Pitch-based Carbon Fiber,96.62,Aerospace,Silver,4.56,3.31,Silica,155.32,401.11,4.45,1.73,1.97,39.33,9.48,93.49,95.71,96.94
Pitch-based Carbon Fiber,132.7,Sports Equipment,Silver,2.54,1.55,Silica,52.03,56.66,4.83,0.27,1.23,134.65,2.95,92.3,86.93,99.75
Pitch-based Carbon Fiber,21.6,Construction,Silver,0.81,5.51,Silica,37.67,341.8,4.51,1.96,3.17,183.45,1.13,98.36,90.5,85.09
Rayon-based Carbon Fiber,116.01,Construction,Black,4.18,9.79,None,145.04,270.74,2.04,1.07,1.55,29.75,1.74,94.69,89.93,93.58
Pitch-based Carbon Fiber,85.12,Sports Equipment,Gray,2.48,2.75,None,76.23,468.6,4.25,2.08,3.53,130.53,1.78,98.3,97.93,88.5
PAN-based Carbon Fiber,34.13,Aerospace,Gray,1.65,3.18,Alumina,151.77,138.16,4.89,2.9,1.55,137.45,8.44,97.11,94.45,90.55
Pitch-based Carbon Fiber,196.43,Aerospace,Black,3.71,8.28,None,137.29,467.86,3.43,1.49,1.54,104.22,2.45,90.04,89.04,95.85
Pitch-based Carbon Fiber,154.63,Construction,Gray,3.23,4.69,Silica,72.4,287.04,4.75,4.97,2.0,37.82,4.19,94.37,96.36,95.46
Rayon-based Carbon Fiber,61.21,Automotive,Gray,4.29,6.49,Alumina,120.51,332.76,3.2,1.71,4.21,99.46,5.52,99.36,88.41,96.81
Pitch-based Carbon Fiber,67.57,Automotive,Gray,1.11,9.21,Silica,170.18,99.71,2.74,4.83,2.07,194.71,6.3,86.12,90.75,95.71
Pitch-based Carbon Fiber,54.2,Construction,Gray,1.72,4.89,Silica,114.66,449.7,4.44,2.87,1.19,96.32,8.25,89.22,93.96,91.33
Pitch-based Carbon Fiber,184.4,Construction,Black,1.69,8.44,None,104.68,81.37,4.23,0.53,1.99,97.07,5.75,99.52,95.6,96.09
PAN-based Carbon Fiber,136.34,Automotive,Black,2.95,2.59,Alumina,157.17,251.57,1.87,0.44,0.8,189.03,6.61,87.88,97.28,89.36
Pitch-based Carbon Fiber,96.67,Sports Equipment,Black,3.75,5.99,Silica,45.68,214.07,0.81,3.52,2.98,126.19,9.18,99.94,94.87,86.13
PAN-based Carbon Fiber,46.86,Sports Equipment,Gray,0.9,8.26,Silica,41.01,219.58,3.77,2.09,4.83,69.73,0.9,89.0,85.34,95.95
Rayon-based Carbon Fiber,59.91,Aerospace,Black,1.0,1.12,Silica,73.12,206.9,0.73,2.56,1.37,94.31,4.72,89.03,87.1,96.09
Rayon-based Carbon Fiber,145.69,Sports Equipment,Gray,2.51,3.48,Alumina,33.75,394.64,4.39,2.2,4.36,178.87,0.61,96.09,90.97,88.79
PAN-based Carbon Fiber,142.14,Automotive,Black,2.96,7.09,Titania,75.24,442.67,2.46,2.02,1.48,76.52,8.47,97.43,91.21,99.6
PAN-based Carbon Fiber,141.32,Automotive,Silver,3.63,5.61,Alumina,170.18,120.57,4.6,4.91,3.02,168.69,1.21,96.05,92.65,96.24
Rayon-based Carbon Fiber,153.67,Construction,Silver,2.09,8.24,Alumina,46.45,233.39,2.81,0.31,1.89,170.07,9.99,86.14,91.31,96.05
Pitch-based Carbon Fiber,113.22,Sports Equipment,Gray,2.44,3.34,None,113.57,490.44,4.45,4.48,2.74,168.32,0.62,87.48,87.08,89.04
PAN-based Carbon Fiber,143.97,Construction,Black,3.69,5.7,Alumina,115.73,364.09,3.95,0.72,2.62,85.33,0.6,91.8,89.95,98.61
Pitch-based Carbon Fiber,11.62,Automotive,Black,0.81,4.76,Alumina,75.91,302.95,4.27,4.4,2.92,82.73,8.83,92.27,90.41,87.44
PAN-based Carbon Fiber,199.94,Sports Equipment,Gray,2.17,8.83,Titania,56.55,219.57,0.65,2.2,0.55,68.53,6.43,96.5,97.62,95.68
Rayon-based Carbon Fiber,11.49,Automotive,Black,3.49,5.47,None,62.79,72.51,2.83,1.48,4.83,46.48,8.07,94.98,96.05,92.63
PAN-based Carbon Fiber,147.91,Aerospace,Black,3.81,6.91,None,111.16,361.01,4.41,0.2,0.45,113.1,6.43,85.34,85.84,85.75
PAN-based Carbon Fiber,198.3,Automotive,Gray,2.31,6.41,Alumina,108.63,475.62,1.1,4.13,3.13,124.2,0.85,99.79,89.64,91.63
Rayon-based Carbon Fiber,128.52,Sports Equipment,Gray,3.34,4.41,None,179.98,64.08,3.36,0.1,1.49,145.46,3.63,89.14,88.49,89.75
PAN-based Carbon Fiber,182.84,Sports Equipment,Gray,3.46,2.98,Silica,55.66,238.12,3.4,2.58,2.1,12.48,5.96,90.84,92.39,86.1
Rayon-based Carbon Fiber,124.46,Construction,Gray,4.36,4.73,Alumina,135.58,448.56,0.99,4.13,2.72,155.15,7.94,95.76,85.58,90.73
Pitch-based Carbon Fiber,57.71,Aerospace,Silver,1.36,2.93,Titania,149.8,437.5,3.61,2.38,4.24,126.19,2.38,99.31,94.87,85.82
Rayon-based Carbon Fiber,53.19,Construction,Black,2.27,6.4,Alumina,91.83,67.65,4.67,4.87,4.19,184.08,8.06,99.98,99.16,91.81
Pitch-based Carbon Fiber,56.85,Automotive,Black,3.15,1.81,Alumina,47.04,244.75,3.99,3.03,1.77,69.77,5.6,86.78,87.43,94.46
Rayon-based Carbon Fiber,79.45,Aerospace,Silver,2.57,9.31,Alumina,143.61,195.72,0.9,1.73,1.62,129.42,1.84,96.6,91.25,89.11
PAN-based Carbon Fiber,33.24,Sports Equipment,Gray,3.91,4.32,Silica,67.7,360.95,1.42,1.38,2.54,132.77,6.92,97.82,87.12,92.56
Rayon-based Carbon Fiber,177.1,Construction,Black,0.62,1.27,None,87.31,357.29,1.76,3.65,0.95,37.38,4.9,87.07,96.01,92.42
PAN-based Carbon Fiber,119.56,Sports Equipment,Gray,2.84,7.64,None,47.87,345.12,2.68,4.46,1.54,74.35,5.1,96.76,94.19,91.74
Pitch-based Carbon Fiber,53.56,Automotive,Gray,4.79,5.6,Alumina,152.99,297.87,3.6,1.07,4.04,177.33,1.74,87.47,89.47,93.43
Pitch-based Carbon Fiber,97.17,Construction,Silver,2.57,9.91,Silica,129.46,159.63,1.29,1.04,0.84,198.2,1.39,96.47,94.53,86.82
Rayon-based Carbon Fiber,136.04,Automotive,Silver,1.65,1.85,Titania,35.8,361.02,4.02,2.87,4.15,76.67,9.63,87.44,93.6,93.0
Pitch-based Carbon Fiber,73.71,Automotive,Black,2.53,6.01,Titania,54.4,488.47,2.59,3.32,2.52,65.28,7.69,99.1,85.93,98.69
Rayon-based Carbon Fiber,111.31,Construction,Silver,0.86,7.28,None,130.34,84.87,1.07,2.88,2.88,83.78,6.16,91.46,93.72,89.71
PAN-based Carbon Fiber,191.28,Construction,Black,4.33,2.72,Alumina,148.77,315.89,2.6,3.56,2.95,60.95,5.28,88.03,85.97,92.34
Pitch-based Carbon Fiber,31.18,Aerospace,Gray,2.03,2.99,Silica,114.93,189.86,3.78,4.34,1.35,38.92,1.98,93.68,89.83,85.52
Pitch-based Carbon Fiber,73.49,Construction,Black,1.54,1.49,Silica,132.38,108.04,3.63,0.83,3.29,138.41,7.37,87.32,87.16,88.83
PAN-based Carbon Fiber,130.72,Sports Equipment,Black,2.22,8.32,None,71.71,86.31,2.57,1.06,3.8,46.01,2.1,94.21,89.02,94.64
Pitch-based Carbon Fiber,139.17,Sports Equipment,Gray,4.96,6.2,Titania,134.86,58.07,1.63,0.57,1.18,198.44,2.31,88.63,96.16,88.42
PAN-based Carbon Fiber,69.11,Sports Equipment,Black,4.28,5.28,Alumina,143.76,90.26,1.63,3.42,1.57,61.06,5.47,85.25,97.55,96.73
Rayon-based Carbon Fiber,191.9,Sports Equipment,Silver,1.76,7.2,None,104.68,154.03,1.66,2.87,2.87,65.51,9.08,93.36,85.07,85.11
PAN-based Carbon Fiber,68.72,Sports Equipment,Black,2.57,2.17,Titania,52.91,124.26,1.41,2.96,4.26,159.07,2.21,86.99,92.04,90.51
Pitch-based Carbon Fiber,179.98,Automotive,Black,1.74,3.52,Titania,154.88,481.58,4.62,1.84,1.84,56.88,0.84,92.12,85.79,86.11
PAN-based Carbon Fiber,25.57,Automotive,Black,4.2,1.42,Silica,69.89,192.12,3.26,2.38,1.86,143.29,2.74,95.8,88.8,89.09
PAN-based Carbon Fiber,175.15,Automotive,Silver,2.67,8.3,Silica,44.68,496.51,3.12,4.3,2.04,10.5,5.17,96.37,92.52,85.15
Rayon-based Carbon Fiber,52.6,Sports Equipment,Black,0.93,1.13,None,106.71,405.16,3.37,4.39,4.69,144.7,2.34,99.65,88.64,85.58
Pitch-based Carbon Fiber,43.05,Automotive,Silver,0.8,6.81,Silica,134.2,352.07,2.71,4.86,3.86,95.44,8.92,98.61,97.13,98.52
Rayon-based Carbon Fiber,86.9,Aerospace,Silver,0.58,8.75,Silica,162.2,126.22,0.58,1.53,3.58,47.31,5.74,89.75,89.81,94.49
PAN-based Carbon Fiber,175.02,Aerospace,Silver,4.57,4.5,Alumina,82.03,397.46,2.88,3.58,2.31,28.71,6.83,98.34,86.79,94.71
PAN-based Carbon Fiber,50.65,Automotive,Gray,2.84,3.11,Alumina,99.99,220.28,4.17,3.02,4.5,88.89,2.95,89.33,89.69,94.08
Pitch-based Carbon Fiber,21.28,Automotive,Silver,3.27,6.38,Silica,69.34,263.11,0.62,4.86,3.65,82.52,9.95,96.84,88.58,98.28
Rayon-based Carbon Fiber,199.38,Construction,Gray,1.34,6.8,Silica,152.12,127.22,1.67,1.59,4.93,119.49,8.62,90.44,98.3,90.18
Rayon-based Carbon Fiber,138.41,Construction,Black,1.6,4.44,Alumina,90.76,71.78,1.69,0.82,3.95,23.33,8.49,91.44,92.3,93.45
PAN-based Carbon Fiber,121.21,Sports Equipment,Black,0.56,1.16,Alumina,82.73,163.3,2.65,4.19,0.12,135.06,7.76,95.66,95.25,99.65
Pitch-based Carbon Fiber,16.75,Sports Equipment,Black,2.76,1.72,Alumina,107.09,237.73,3.27,0.25,2.75,65.35,5.96,88.16,96.91,88.18
Pitch-based Carbon Fiber,68.37,Automotive,Silver,4.75,4.54,Silica,89.0,440.2,1.5,1.19,0.39,24.87,5.72,99.98,87.73,90.79
Rayon-based Carbon Fiber,83.34,Aerospace,Silver,1.18,4.19,Alumina,91.59,117.76,4.19,4.25,2.92,124.62,9.03,94.69,97.8,92.67
PAN-based Carbon Fiber,53.75,Sports Equipment,Silver,3.45,8.28,Silica,120.7,301.98,1.74,3.08,2.22,38.2,0.66,96.05,86.74,90.55
Pitch-based Carbon Fiber,32.9,Construction,Silver,2.52,6.64,None,75.15,246.73,0.62,1.85,0.79,88.64,1.06,87.37,97.38,99.13
Rayon-based Carbon Fiber,125.47,Automotive,Gray,4.71,2.06,Titania,156.2,444.54,1.89,1.72,1.75,171.25,9.73,97.12,94.94,88.94
Rayon-based Carbon Fiber,166.83,Aerospace,Gray,4.5,2.02,Alumina,33.8,304.1,2.24,4.01,1.67,94.03,9.35,95.66,90.36,87.74
Pitch-based Carbon Fiber,105.79,Automotive,Black,0.88,5.35,Silica,125.87,114.06,1.69,0.92,2.01,83.05,7.82,91.17,88.66,87.78
Rayon-based Carbon Fiber,105.28,Sports Equipment,Black,4.02,3.18,Alumina,130.19,325.75,2.77,2.23,2.92,45.31,0.61,99.11,94.75,88.98
PAN-based Carbon Fiber,81.17,Automotive,Black,1.39,1.81,Alumina,138.38,398.33,0.65,3.11,1.17,16.67,4.57,95.87,97.22,86.81
PAN-based Carbon Fiber,196.83,Aerospace,Black,1.17,1.41,Silica,152.68,292.51,1.86,4.13,4.03,106.97,6.75,94.14,91.09,89.17
PAN-based Carbon Fiber,71.64,Sports Equipment,Gray,0.65,1.29,Silica,92.42,449.33,4.87,1.45,4.39,181.5,3.07,92.06,88.29,87.37
Rayon-based Carbon Fiber,24.62,Automotive,Black,3.29,4.21,Alumina,99.82,472.27,4.44,0.23,3.71,49.75,3.39,90.94,98.55,98.03
Rayon-based Carbon Fiber,163.1,Sports Equipment,Gray,4.99,5.24,Titania,179.68,233.67,1.95,0.98,0.93,117.69,1.22,99.64,86.58,86.61
Pitch-based Carbon Fiber,63.03,Construction,Gray,3.78,7.83,Titania,35.57,461.23,2.73,4.72,1.58,174.82,6.82,98.42,89.11,93.68
PAN-based Carbon Fiber,120.12,Construction,Black,4.94,2.55,None,66.23,243.11,4.1,2.97,1.02,94.19,9.37,85.02,87.77,96.66
Pitch-based Carbon Fiber,173.43,Construction,Silver,4.41,9.34,Silica,31.74,449.26,0.72,3.89,2.75,166.92,9.67,90.79,92.03,94.61
PAN-based Carbon Fiber,129.83,Construction,Gray,4.16,9.25,Silica,103.09,361.98,2.27,2.15,3.0,181.27,0.65,93.75,94.83,93.29
Pitch-based Carbon Fiber,49.98,Aerospace,Black,1.0,9.93,Titania,101.37,116.99,2.96,2.51,3.36,132.7,9.59,98.47,93.82,88.14
Rayon-based Carbon Fiber,198.94,Automotive,Silver,4.36,5.31,Silica,168.92,168.63,1.15,0.22,1.07,177.43,2.61,91.49,91.41,88.48
Pitch-based Carbon Fiber,92.89,Automotive,Black,4.18,2.42,Titania,38.33,91.89,4.11,2.8,1.77,101.16,4.45,90.97,94.21,87.56
PAN-based Carbon Fiber,75.91,Aerospace,Black,1.84,9.56,Titania,80.89,280.78,3.62,4.9,0.54,75.7,8.84,91.52,92.88,95.01
Rayon-based Carbon Fiber,102.3,Construction,Gray,3.34,3.71,Silica,137.33,462.52,4.94,2.15,0.52,96.21,7.22,93.29,87.82,93.09
Rayon-based Carbon Fiber,41.05,Construction,Gray,3.81,8.63,None,174.6,103.31,1.38,1.88,2.85,36.57,0.99,89.31,86.18,88.89
Rayon-based Carbon Fiber,96.37,Sports Equipment,Gray,1.97,2.24,Alumina,106.34,85.4,3.13,4.09,4.52,29.54,1.94,87.45,94.21,87.37
Rayon-based Carbon Fiber,94.35,Automotive,Silver,3.82,2.7,Titania,143.99,235.46,4.14,0.67,4.39,35.52,4.44,91.37,99.96,90.99
Rayon-based Carbon Fiber,34.35,Construction,Gray,2.72,5.87,None,104.92,193.75,4.92,1.07,4.62,157.43,8.85,94.5,90.58,88.08
PAN-based Carbon Fiber,191.59,Automotive,Gray,3.58,2.58,Titania,130.79,267.31,4.98,0.54,4.85,170.69,1.91,87.2,86.09,98.76
PAN-based Carbon Fiber,164.39,Sports Equipment,Silver,0.76,7.06,None,146.08,440.01,3.09,2.53,3.44,136.19,9.97,98.27,86.2,85.22
Pitch-based Carbon Fiber,47.82,Aerospace,Silver,4.11,3.88,Titania,105.18,277.23,0.73,1.6,0.89,180.89,9.52,88.06,96.65,94.36
Rayon-based Carbon Fiber,147.53,Automotive,Black,3.37,9.78,Alumina,116.04,350.43,2.3,3.85,3.28,178.37,4.83,97.05,86.51,99.27
Rayon-based Carbon Fiber,182.42,Construction,Silver,1.84,2.92,Silica,65.76,423.97,3.66,3.84,2.95,159.71,6.32,94.08,98.53,96.78
Pitch-based Carbon Fiber,70.23,Automotive,Silver,4.48,8.35,Silica,125.26,99.77,1.66,4.63,1.01,33.88,8.19,89.47,93.12,85.84
Pitch-based Carbon Fiber,138.08,Aerospace,Gray,3.6,3.62,None,116.37,396.99,4.94,0.96,4.87,181.77,7.25,96.56,97.29,90.42
PAN-based Carbon Fiber,186.13,Aerospace,Black,4.75,6.34,None,114.2,329.57,3.89,3.91,0.75,125.44,6.41,92.91,93.59,94.95
PAN-based Carbon Fiber,128.82,Sports Equipment,Silver,1.75,9.23,Silica,172.73,77.29,3.64,4.69,2.11,149.59,9.3,98.76,93.84,96.66
Pitch-based Carbon Fiber,122.85,Construction,Silver,4.1,9.48,Alumina,45.75,276.06,3.98,0.49,4.1,42.57,3.88,89.16,93.6,86.07
Pitch-based Carbon Fiber,96.84,Construction,Silver,1.54,2.92,Silica,70.37,230.4,3.55,1.47,1.63,188.41,2.07,87.98,96.39,97.27
Pitch-based Carbon Fiber,112.83,Sports Equipment,Black,2.9,7.42,Titania,164.73,148.17,2.94,3.38,4.6,106.03,4.25,85.17,93.85,91.26
Rayon-based Carbon Fiber,177.75,Construction,Silver,3.13,2.35,Alumina,59.64,57.92,3.17,0.51,2.82,16.7,6.94,91.3,87.13,93.01
Rayon-based Carbon Fiber,96.36,Aerospace,Black,3.57,9.62,Silica,135.58,469.58,3.75,0.18,0.14,191.21,6.33,95.95,89.57,94.21
Rayon-based Carbon Fiber,65.2,Sports Equipment,Silver,0.59,9.79,Alumina,61.45,483.05,2.63,2.2,2.66,148.89,5.24,89.31,86.99,96.33
Rayon-based Carbon Fiber,104.88,Automotive,Silver,1.15,3.37,Titania,40.79,183.82,0.98,4.03,1.48,182.35,9.51,96.88,85.11,85.71
Pitch-based Carbon Fiber,107.0,Aerospace,Silver,4.35,3.95,Alumina,47.39,105.38,3.88,3.45,2.54,25.9,5.42,85.03,91.6,89.27
PAN-based Carbon Fiber,190.59,Automotive,Gray,2.02,5.42,Alumina,101.14,148.7,4.28,0.74,1.78,91.73,1.29,99.8,85.46,97.61
PAN-based Carbon Fiber,92.37,Construction,Gray,4.83,8.18,Alumina,41.23,327.72,4.51,4.35,3.04,186.11,9.36,99.6,89.5,86.64
Rayon-based Carbon Fiber,21.02,Sports Equipment,Gray,1.97,2.42,Silica,52.47,475.06,3.35,4.25,0.32,34.13,3.7,98.59,91.16,99.06
Rayon-based Carbon Fiber,78.68,Construction,Black,2.78,3.37,Silica,53.8,135.85,4.89,3.55,3.05,152.47,5.01,88.41,87.26,85.39
Pitch-based Carbon Fiber,95.32,Aerospace,Silver,3.19,5.7,Silica,160.47,466.99,1.47,2.02,2.18,127.85,5.95,98.06,91.07,90.14
PAN-based Carbon Fiber,145.44,Aerospace,Black,2.01,3.49,Alumina,122.74,305.1,1.86,1.79,3.52,69.61,9.5,88.06,88.4,88.14
PAN-based Carbon Fiber,114.56,Aerospace,Gray,2.78,2.16,Silica,137.41,224.87,0.55,0.22,1.83,96.58,8.37,86.51,99.44,97.19
Pitch-based Carbon Fiber,192.84,Aerospace,Gray,4.35,1.38,Titania,102.35,181.91,2.36,1.26,2.96,110.75,6.19,96.25,99.02,96.41
PAN-based Carbon Fiber,31.83,Construction,Gray,0.87,1.1,Titania,105.24,369.58,1.05,4.94,4.13,102.91,6.18,95.59,85.89,93.22
Pitch-based Carbon Fiber,199.03,Sports Equipment,Silver,3.19,9.19,Alumina,167.69,190.54,4.58,0.8,3.04,98.02,5.71,97.48,92.93,92.24
Pitch-based Carbon Fiber,193.66,Automotive,Black,2.7,6.82,None,146.12,186.87,2.14,1.83,1.3,144.31,3.83,86.03,90.76,91.32
PAN-based Carbon Fiber,106.87,Aerospace,Black,4.19,4.48,Titania,140.07,149.77,4.65,0.24,4.7,115.74,0.72,95.83,85.16,90.55
Rayon-based Carbon Fiber,199.37,Construction,Gray,0.5,6.21,None,39.47,98.46,2.78,0.47,3.03,47.39,4.77,96.91,91.03,85.38
Pitch-based Carbon Fiber,194.88,Aerospace,Black,1.92,1.98,None,111.5,62.09,4.6,0.65,2.45,67.45,6.53,87.75,87.05,86.97
PAN-based Carbon Fiber,25.19,Automotive,Black,4.56,6.96,None,97.96,479.7,3.86,0.19,2.56,99.59,6.58,88.33,96.39,98.7
Rayon-based Carbon Fiber,102.79,Automotive,Silver,1.73,1.84,Titania,48.6,399.36,3.63,1.76,3.3,114.31,1.74,97.53,88.02,93.42
PAN-based Carbon Fiber,15.92,Sports Equipment,Silver,3.1,2.7,Titania,42.39,242.61,2.79,1.26,3.62,30.12,7.62,96.22,91.43,87.44
Rayon-based Carbon Fiber,192.19,Construction,Gray,3.19,7.57,None,72.81,168.35,1.3,0.65,3.96,96.47,5.6,92.67,97.68,85.59
PAN-based Carbon Fiber,36.9,Sports Equipment,Gray,3.12,7.41,None,167.89,339.23,1.44,1.09,2.09,185.16,6.23,88.96,99.79,90.57
PAN-based Carbon Fiber,156.05,Construction,Silver,2.29,9.54,Titania,83.16,160.01,0.59,3.34,2.82,52.82,6.04,93.42,89.47,85.34
PAN-based Carbon Fiber,180.39,Construction,Silver,0.62,8.33,Silica,117.78,82.7,1.73,4.37,2.06,199.73,3.1,86.93,92.54,87.82
Rayon-based Carbon Fiber,46.95,Automotive,Silver,1.83,7.86,None,142.29,295.51,4.63,2.46,0.57,189.01,8.36,92.71,95.1,92.27
Pitch-based Carbon Fiber,84.31,Aerospace,Gray,0.64,5.4,Silica,76.83,188.79,3.52,0.33,1.73,163.93,1.73,88.85,97.33,98.61
PAN-based Carbon Fiber,28.08,Aerospace,Silver,1.99,6.01,Alumina,60.47,79.63,4.7,4.26,0.46,115.74,4.02,96.03,99.43,93.26
PAN-based Carbon Fiber,169.67,Aerospace,Gray,1.12,6.1,None,40.39,438.56,0.8,3.5,2.98,191.92,6.45,88.14,92.67,99.55
Rayon-based Carbon Fiber,144.75,Aerospace,Silver,4.93,6.43,Titania,89.35,187.26,1.41,1.07,1.21,106.78,0.85,88.97,95.63,85.61
Rayon-based Carbon Fiber,16.57,Sports Equipment,Black,4.94,6.96,Titania,168.48,239.6,3.18,0.61,2.09,99.26,1.78,98.62,88.23,87.14
Rayon-based Carbon Fiber,120.72,Construction,Gray,1.73,4.8,Titania,68.18,333.14,4.57,0.85,0.45,57.83,2.25,87.8,86.61,93.45
Pitch-based Carbon Fiber,153.39,Aerospace,Silver,2.89,3.31,None,162.47,379.31,4.95,2.96,0.61,194.86,9.93,95.36,99.26,88.89
Pitch-based Carbon Fiber,116.95,Automotive,Silver,2.26,8.47,Titania,166.21,110.23,0.68,3.7,2.46,113.56,7.73,94.22,88.89,87.55
Pitch-based Carbon Fiber,23.65,Sports Equipment,Gray,2.93,3.23,None,55.43,146.02,2.57,4.08,0.75,35.96,0.56,99.61,94.7,88.58
PAN-based Carbon Fiber,69.15,Automotive,Gray,4.99,3.96,None,93.79,397.03,1.09,1.44,3.87,75.21,6.75,95.5,92.31,88.55
PAN-based Carbon Fiber,60.59,Automotive,Black,4.6,1.96,Titania,106.99,410.62,1.07,4.45,0.73,137.41,8.93,99.56,91.32,97.5
Pitch-based Carbon Fiber,120.19,Automotive,Silver,2.94,5.89,Silica,120.59,312.45,0.87,4.22,4.66,136.49,0.62,98.77,92.62,97.02
PAN-based Carbon Fiber,45.43,Aerospace,Gray,4.22,8.69,None,55.67,189.5,2.84,3.3,3.85,109.01,3.53,98.24,89.45,94.37
Rayon-based Carbon Fiber,103.46,Sports Equipment,Black,4.6,6.77,Silica,134.75,358.23,3.54,2.19,2.48,107.53,3.9,96.65,88.1,97.86
Pitch-based Carbon Fiber,101.04,Aerospace,Gray,1.28,6.68,Silica,63.53,85.01,0.77,0.4,0.41,142.36,7.8,87.24,89.59,99.5
PAN-based Carbon Fiber,97.73,Aerospace,Gray,0.85,2.67,None,159.28,118.88,1.81,1.26,3.93,25.89,5.07,98.13,99.96,87.41
PAN-based Carbon Fiber,22.55,Automotive,Black,4.39,7.73,None,131.1,422.21,2.49,2.03,2.83,55.21,5.93,89.14,92.74,95.69
PAN-based Carbon Fiber,39.69,Automotive,Gray,4.83,7.88,Silica,84.27,134.82,3.61,2.54,3.64,40.53,8.65,95.55,87.81,87.96
Rayon-based Carbon Fiber,141.0,Aerospace,Gray,0.83,4.58,Titania,119.7,307.37,4.21,3.54,4.33,156.46,9.13,88.93,87.13,91.0
PAN-based Carbon Fiber,46.87,Aerospace,Silver,0.98,3.73,Titania,83.09,64.31,4.9,1.17,3.13,134.42,5.22,85.41,95.95,93.35
Pitch-based Carbon Fiber,149.79,Construction,Silver,3.76,9.44,None,157.76,134.8,4.37,1.36,2.01,61.96,8.47,85.59,98.69,90.81
Pitch-based Carbon Fiber,193.19,Aerospace,Gray,0.7,9.01,None,127.65,368.12,3.68,3.66,2.5,138.64,7.75,95.62,93.99,92.16
Rayon-based Carbon Fiber,161.02,Automotive,Silver,0.77,2.78,Silica,42.56,289.49,4.99,4.3,3.17,18.22,1.39,93.15,96.6,89.8
